region,age,prob
Tigray,10,0.014265584
Tigray,11,0.015507039
Tigray,12,0.038723286
Tigray,13,0.080686963
Tigray,14,0.135569267
Tigray,15,0.182598288
Tigray,16,0.130135019
Tigray,17,0.093994155
Tigray,18,0.120152557
Tigray,19,0.049663237
Tigray,20,0.055358485
Tigray,21,0.018846465
Tigray,22,0.022860502
Tigray,23,0.014614948
Tigray,24,0.008069423
Tigray,25,0.007642172
Tigray,26,0.001557408
Tigray,27,0.003623856
Tigray,28,0.002974401
Tigray,30,0.002175574
Tigray,33,0.000981371
Afar,10,0.009796398
Afar,11,0.004247337
Afar,12,0.010862339
Afar,13,0.051066853
Afar,14,0.127588066
Afar,15,0.254502217
Afar,16,0.189845312
Afar,17,0.116510859
Afar,18,0.09213445
Afar,19,0.056536114
Afar,20,0.038381415
Afar,21,0.016861255
Afar,22,0.009703004
Afar,23,0.005893127
Afar,24,0.004900406
Afar,25,0.008020039
Afar,26,0.001210306
Afar,27,0.000343002
Afar,28,0.000449136
Afar,33,0.001148369
Amhara,10,0.016626727
Amhara,11,0.020215539
Amhara,12,0.064158587
Amhara,13,0.10105512
Amhara,14,0.167284948
Amhara,15,0.21704049
Amhara,16,0.109196894
Amhara,17,0.085449187
Amhara,18,0.081142486
Amhara,19,0.040889117
Amhara,20,0.028653675
Amhara,21,0.012228869
Amhara,22,0.023078268
Amhara,23,0.010636527
Amhara,24,0.005883005
Amhara,25,0.007905591
Amhara,26,0.003739191
Amhara,27,0.002338189
Amhara,29,0.00075595
Amhara,30,0.000965691
Amhara,43,0.00075595
Oromia,10,0.002060642
Oromia,11,0.005894605
Oromia,12,0.022925515
Oromia,13,0.042315931
Oromia,14,0.136856545
Oromia,15,0.202069364
Oromia,16,0.154030419
Oromia,17,0.105321968
Oromia,18,0.11143506
Oromia,19,0.047286996
Oromia,20,0.063890227
Oromia,21,0.027658119
Oromia,22,0.027747703
Oromia,23,0.017127029
Oromia,24,0.010465258
Oromia,25,0.008001424
Oromia,26,0.004565675
Oromia,27,0.003133417
Oromia,28,0.004194748
Oromia,29,0.001153713
Oromia,30,0.000574184
Oromia,31,0.001291459
Somali,11,0.006128745
Somali,12,0.000950185
Somali,13,0.025524707
Somali,14,0.091925653
Somali,15,0.180487755
Somali,16,0.155336585
Somali,17,0.115561015
Somali,18,0.128403993
Somali,19,0.07572419
Somali,20,0.100921408
Somali,21,0.038766073
Somali,22,0.01778119
Somali,23,0.015119094
Somali,24,0.014201589
Somali,25,0.018947756
Somali,26,0.004742936
Somali,27,0.003389087
Somali,28,0.001934592
Somali,29,0.001829294
Somali,30,0.001499446
Somali,31,0.000824708
Benishangul-Gumuz,10,0.007805901
Benishangul-Gumuz,11,0.004866016
Benishangul-Gumuz,12,0.031914384
Benishangul-Gumuz,13,0.076600867
Benishangul-Gumuz,14,0.123567228
Benishangul-Gumuz,15,0.192230653
Benishangul-Gumuz,16,0.150245104
Benishangul-Gumuz,17,0.116439725
Benishangul-Gumuz,18,0.118113091
Benishangul-Gumuz,19,0.06187865
Benishangul-Gumuz,20,0.064115764
Benishangul-Gumuz,21,0.019270774
Benishangul-Gumuz,22,0.011813823
Benishangul-Gumuz,23,0.004587865
Benishangul-Gumuz,24,0.00833174
Benishangul-Gumuz,25,0.004255183
Benishangul-Gumuz,27,0.003466226
Benishangul-Gumuz,30,0.000497007
SNNPR,10,0.002357443
SNNPR,11,0.001266814
SNNPR,12,0.011810548
SNNPR,13,0.042847024
SNNPR,14,0.094802373
SNNPR,15,0.192367612
SNNPR,16,0.114619238
SNNPR,17,0.122157913
SNNPR,18,0.135641121
SNNPR,19,0.06857461
SNNPR,20,0.075089145
SNNPR,21,0.038854714
SNNPR,22,0.028904581
SNNPR,23,0.030742151
SNNPR,24,0.012849164
SNNPR,25,0.010841693
SNNPR,26,0.004835748
SNNPR,27,0.003020915
SNNPR,28,0.003957731
SNNPR,29,0.003693191
SNNPR,33,0.000766273
Gambela,10,0.008677336
Gambela,11,0.01197353
Gambela,12,0.027255271
Gambela,13,0.071407995
Gambela,14,0.132065696
Gambela,15,0.216145584
Gambela,16,0.146521526
Gambela,17,0.077923848
Gambela,18,0.114585437
Gambela,19,0.055603651
Gambela,20,0.049789887
Gambela,21,0.024135818
Gambela,22,0.024464479
Gambela,23,0.017327218
Gambela,24,0.009904241
Gambela,26,0.005495552
Gambela,27,0.001021422
Gambela,29,0.000542185
Gambela,30,0.003590986
Gambela,36,0.001568341
Harari,10,0.002905786
Harari,11,0.001808573
Harari,12,0.009596698
Harari,13,0.033990421
Harari,14,0.090843955
Harari,15,0.198959168
Harari,16,0.104364001
Harari,17,0.111201958
Harari,18,0.152573103
Harari,19,0.067280509
Harari,20,0.087309424
Harari,21,0.042725207
Harari,22,0.018887448
Harari,23,0.01605983
Harari,24,0.012842455
Harari,25,0.01921527
Harari,26,0.011455022
Harari,27,0.005088714
Harari,28,0.001160521
Harari,29,0.006848731
Harari,30,0.00152656
Harari,32,0.001877233
Harari,34,0.001479413
Addis Ababa,10,0.000828736
Addis Ababa,11,0.003942353
Addis Ababa,12,0.011094006
Addis Ababa,13,0.029339851
Addis Ababa,14,0.052426885
Addis Ababa,15,0.079717637
Addis Ababa,16,0.096484168
Addis Ababa,17,0.104760943
Addis Ababa,18,0.131719112
Addis Ababa,19,0.083204152
Addis Ababa,20,0.093413604
Addis Ababa,21,0.057568403
Addis Ababa,22,0.057262044
Addis Ababa,23,0.041523251
Addis Ababa,24,0.04248246
Addis Ababa,25,0.052014386
Addis Ababa,26,0.00996998
Addis Ababa,27,0.015998999
Addis Ababa,28,0.00822554
Addis Ababa,29,0.006738219
Addis Ababa,30,0.010725858
Addis Ababa,31,0.004297451
Addis Ababa,32,0.002406533
Addis Ababa,33,0.001013699
Addis Ababa,35,0.002012376
Addis Ababa,37,0.000829355
Dire Dawa,10,0.002984216
Dire Dawa,11,0.002764409
Dire Dawa,12,0.013809837
Dire Dawa,13,0.045587364
Dire Dawa,14,0.102832531
Dire Dawa,15,0.163877219
Dire Dawa,16,0.118265531
Dire Dawa,17,0.122205874
Dire Dawa,18,0.133218638
Dire Dawa,19,0.082481985
Dire Dawa,20,0.0560815
Dire Dawa,21,0.040301408
Dire Dawa,22,0.024969724
Dire Dawa,23,0.022334791
Dire Dawa,24,0.017602786
Dire Dawa,25,0.011278696
Dire Dawa,26,0.012370358
Dire Dawa,27,0.010855263
Dire Dawa,28,0.00473347
Dire Dawa,29,0.004171995
Dire Dawa,30,0.002901756
Dire Dawa,32,0.00307994
Dire Dawa,34,0.000645355
Dire Dawa,36,0.000645355