year,crude_death_rate
1950,28.919
1951,28.081
1952,27.753
1953,26.284
1954,24.956
1955,23.769
1956,22.694
1957,21.345
1958,20.389
1959,19.522
1960,18.647
1961,17.869
1962,17.216
1963,16.644
1964,16.129
1965,15.733
1966,15.339
1967,14.951
1968,14.581
1969,14.197
1970,13.802
1971,13.317
1972,12.807
1973,12.328
1974,12.111
1975,11.832
1976,11.604
1977,11.197
1978,10.838
1979,10.395
1980,9.97
1981,9.001
1982,8.937
1983,8.793
1984,8.76
1985,8.751
1986,8.818
1987,8.849
1988,8.999
1989,9.162
1990,9.31
1991,9.527
1992,9.803
1993,10.036
1994,10.153
1995,10.387
1996,10.543
1997,10.65
1998,10.743
1999,10.697
2000,10.677
2001,10.587
2002,10.332
2003,9.995
2004,9.61
2005,9.147
2006,8.748
2007,8.457
2008,8.087
2009,7.718
2010,7.57
2011,7.428
2012,7.453
2013,7.399
2014,7.304
2015,7.361
2016,7.34
2017,7.294
2018,7.305
2019,7.29
2020,7.456
2021,8.056
2022,7.83
2023,7.301
2024,7.037
2025,7.016
2026,7
2027,6.989
2028,6.979
2029,6.977
2030,6.974