year,popsize
1960,3206749
1961,3295278
1962,3386806
1963,3481654
1964,3580239
1965,3682876
1966,3789383
1967,3899644
1968,4014103
1969,4133322
1970,4257505
1971,4387540
1972,4522893
1973,4660725
1974,4797187
1975,4929846
1976,5057378
1977,5181514
1978,5306681
1979,5439066
1980,5583165
1981,5740444
1982,5909739
1983,6089572
1984,6277424
1985,6471327
1986,6670663
1987,6875754
1988,7086627
1989,7303517
1990,7526307
1991,7755496
1992,7990096
1993,8226760
1994,8461068
1995,8690164
1996,8912861
1997,9130877
1998,9347774
1999,9568722
2000,9797734
2001,10036104
2002,10283699
2003,10541467
2004,10810083
2005,11090116
2006,11382268
2007,11687080
2008,12004701
2009,12335084
2010,12678148
2011,13033809
2012,13401991
2013,13782420
2014,14174731
2015,14578459
2016,14993528
2017,15419381
2018,15854360
2019,16296364